HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.experimentName,Input.List,Answer.comment,Answer.freeGenCrit,Answer.freeGenCrit1,Answer.freeGenCrit10,Answer.freeGenCrit11,Answer.freeGenCrit12,Answer.freeGenCrit13,Answer.freeGenCrit14,Answer.freeGenCrit15,Answer.freeGenCrit16,Answer.freeGenCrit17,Answer.freeGenCrit18,Answer.freeGenCrit19,Answer.freeGenCrit2,Answer.freeGenCrit20,Answer.freeGenCrit21,Answer.freeGenCrit22,Answer.freeGenCrit23,Answer.freeGenCrit24,Answer.freeGenCrit25,Answer.freeGenCrit26,Answer.freeGenCrit27,Answer.freeGenCrit28,Answer.freeGenCrit29,Answer.freeGenCrit3,Answer.freeGenCrit30,Answer.freeGenCrit31,Answer.freeGenCrit32,Answer.freeGenCrit33,Answer.freeGenCrit34,Answer.freeGenCrit35,Answer.freeGenCrit36,Answer.freeGenCrit37,Answer.freeGenCrit38,Answer.freeGenCrit39,Answer.freeGenCrit4,Answer.freeGenCrit40,Answer.freeGenCrit5,Answer.freeGenCrit6,Answer.freeGenCrit7,Answer.freeGenCrit8,Answer.freeGenCrit9,Answer.freeWordCheck,Answer.refTypes,Answer.sceneConfigs,Answer.sceneTime,Answer.shapeCheck,Answer.turnOrder,Answer.wrongShape,Approve,Reject
3M93N4X8HK05OBUIPWK10EQ47OEJSE,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:55 PST 2017,,,3QRYMNZ7FZU59LWBJWMLSAZRULXTNS,7qmp6p0ciq,Approved,Fri Feb 10 07:47:31 PST 2017,Fri Feb 10 08:00:54 PST 2017,Fri Feb 10 11:00:54 PST 2017,Fri Feb 10 08:04:56 PST 2017,,,803,100% (1/1),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC2,{},{},lego circle,square,spiral,slightly broken circle,arrow,arrow,line with knobs,square,squiggle,arrow,spiral,cloud,less filled glass,line,star,square,squiggle,one bend line,star,cookie,small spiral,arrow,bent arrow,thin line,star,arrow,square,squiggle,one bend line,box,tornado,large cylinder,fat arrow,star,cookie,square,star,circle,frown,arrow,sun,2;3;2;3;2;3;3;1;3;2;4;1;2;3;4;2;4;2;3;1;1;3;1;3;4;3;3;1;2;1;4;2;2;3;4;3;2;4;2;3,BCDA;CDBA;BCDA;ADCB;ADCB;ADCB;BCDA;DCBA;CBAD;ABDC;BCAD;BACD;DBCA;DABC;DBAC;BDAC;BCDA;DBAC;ACDB;ADBC;ABDC;CADB;DCAB;DCAB;BACD;ACDB;ADBC;DBAC;BCAD;CDAB;ABDC;BACD;DCBA;ADBC;ADCB;BCAD;BACD;BDAC;ABDC;BDAC,25584;27847;6858;9425;7113;11822;6214;13650;4749;5555;7348;12967;4663;4743;8019;14869;5986;4427;3975;2942;10204;13470;3720;3792;5389;9696;4054;4495;13225;3868;4866;11330;4196;6017;3989;2864;4121;5170;4675;5319,sun,26;20;19;24;18;30;13;35;27;39;3;15;9;17;23;25;7;22;40;4;8;12;16;14;37;1;29;32;28;11;6;38;5;10;2;31;36;33;21;34,0,,
3M93N4X8HK05OBUIPWK10EQ47OEJSE,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:55 PST 2017,,,3WI0P0II625J7US6QD3NWQMFSWYRDV,g01d40xcal,Approved,Fri Feb 10 07:47:28 PST 2017,Fri Feb 10 07:56:15 PST 2017,Fri Feb 10 10:56:15 PST 2017,Fri Feb 10 08:04:56 PST 2017,,,527,100% (1/1),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC2,{},{},circle with 6 dots,striped triangle,box,the half circle,circle,half full box,thin line,triangle with 1 dot,triangle,arrow,thin line,full circle,box,arrow,smallest line,wavy line,wavy line,rectangle,star,thin line,3D oval,arrow,square,thinnest line,arrow,smallest line,triangle,triangle,rectangle,thin oval,tornado,small tube,star,curved arrow,arrow,arrow,star,half full glass,curved line,arrow,sun shape,2;4;4;2;4;3;4;1;3;1;3;4;3;4;3;1;2;2;4;2;2;1;3;3;2;3;4;2;2;1;2;1;1;2;1;1;2;1;3;2,CDAB;BDAC;CABD;ADCB;DACB;ABCD;CBDA;BCAD;CADB;CBAD;DABC;DCAB;ADCB;CDBA;CBDA;BACD;CBDA;BADC;ADCB;DCBA;BACD;CADB;DCAB;DBAC;CADB;ADBC;ABCD;BDAC;BDCA;ACDB;DABC;ABCD;BDAC;DABC;DCBA;BDAC;CDBA;DBAC;CADB;CBDA,18803;12715;20038;6609;16829;8630;9480;7790;11772;4715;4351;5560;4594;4551;4449;17932;5464;8575;6220;14706;18514;17373;15526;7348;5631;7478;4831;5389;20037;5982;8114;18350;10706;15456;5514;18005;3784;4606;12291;5820,sun,5;10;20;34;27;25;36;37;23;40;29;3;26;18;31;1;6;2;17;14;16;15;30;4;35;8;39;13;38;33;19;12;32;28;11;7;21;9;22;24,0,,
3EKZL9T8Y8ZTQOAW4ARG9W678TOHCD,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:55 PST 2017,,,39RP059MEI6ZVHHU79G0F145JONBMK,e1f45ks281,Approved,Fri Feb 10 07:47:27 PST 2017,Fri Feb 10 08:48:45 PST 2017,Fri Feb 10 11:48:45 PST 2017,Fri Feb 10 09:51:23 PST 2017,,,3678,100% (2/2),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC2,{},{},circle lego,no line triangle,triangle,less full circle,curved line,less full cube,curved line,square,triangle,arrow,cyluinder,triangle,less full cylinder,arrow,shorter line,curved thin line,square,oval,rectangle,ribbon,small ribbon,legp\,bent line with no arrow,arrow,line,cloud,square,small square,triangle,fatter oval,cylinder,cloud,line,curved line no arrow,arrow,square,triangle,square,straight line,arrow,sun,2;2;1;1;2;2;2;4;3;4;2;4;1;4;3;2;2;2;1;1;2;1;4;2;1;4;1;1;4;2;1;4;2;1;3;4;1;3;1;2,DACB;CADB;CDAB;DABC;BACD;DBAC;DABC;ACDB;DACB;CBDA;BDCA;DCAB;CDBA;ACBD;DABC;CDAB;CDAB;CABD;ADBC;DBAC;BDCA;ADBC;DCBA;CDBA;ADCB;BDCA;CDBA;ABDC;CADB;ABDC;DABC;BADC;CBAD;BADC;ACBD;DCBA;BADC;CADB;DABC;BCAD,7870;5960;4152;4079;2664;6760;14536;1743;4093;7131;4280;3223;6570;4177;6248;10695;4928;4047;1817;4063;10921;2286;6913;3344;2750;1784;2819;2384;2488;2919;2407;4048;3416;6047;2936;7071;2802;3623;2384;2767,sun,18;11;13;37;26;39;3;32;29;23;15;21;28;22;14;12;20;4;40;8;36;30;1;6;2;38;24;9;25;5;27;35;7;19;33;10;17;34;16;31,0,,
3EKZL9T8Y8ZTQOAW4ARG9W678TOHCD,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:55 PST 2017,,,3LUY3GC630DIE8BHM8WCR3C4537P78,waek3csdw7,Approved,Fri Feb 10 07:48:00 PST 2017,Fri Feb 10 07:55:45 PST 2017,Fri Feb 10 10:55:45 PST 2017,Fri Feb 10 08:04:53 PST 2017,,,465,100% (1/1),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC2,{},{},triangle,cookie,triangle,straight line,cloud,full square,ball end line,ball,circle,arrow,line,cloud,cloud,arrow,star,triangle,squiggle line,bent line,smallest rectangle,spiral,puck,lego piece,square,thick line,star,shortest line,wavvy line,large square,three part line,rectangle,cylinder,tall cylinder,square,star,thick line,circle cookie,triangle,square,straight line,arrows,a sun,4;3;4;3;1;2;2;4;3;3;2;3;4;1;4;3;1;2;4;3;2;3;2;3;4;1;1;2;4;4;4;1;4;4;3;2;1;4;4;4,CBAD;BDCA;CDBA;DCAB;BCDA;DBCA;ABCD;CBDA;ACDB;CBDA;ADBC;DCAB;CDBA;DACB;DCAB;ADBC;ABDC;BACD;BDAC;CDBA;BADC;CBDA;CABD;CDAB;ADCB;ABDC;ABDC;CABD;ADCB;ACDB;CDBA;ADBC;CDAB;ADCB;BCAD;ACBD;BCAD;BCDA;ACDB;CDBA,38060;10599;19186;14172;8308;5514;8643;13509;12097;4568;6603;4735;11760;14091;6517;9332;9024;6223;4596;6707;4924;3937;13530;8038;15596;3511;5768;4806;8940;8936;14421;2850;8130;6050;5451;8678;6794;4071;7069;6071,sun,12;32;27;26;40;10;7;24;1;4;6;21;5;38;23;25;33;37;18;34;16;13;36;29;11;31;39;19;35;14;17;22;8;3;9;30;15;20;2;28,0,,
3EKZL9T8Y8ZTQOAW4ARG9W678TOHCD,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:55 PST 2017,,,3PDJHANYK6T7XRZOKLJFCGAHO1DH6W,hrf3iqyp34,Approved,Fri Feb 10 07:47:49 PST 2017,Fri Feb 10 07:55:43 PST 2017,Fri Feb 10 10:55:43 PST 2017,Fri Feb 10 08:04:53 PST 2017,,,474,100% (1/1),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC2,{},{},square,striped triangle,square,square,slightly curved line,cylinder,curved line,circle,straight line,most bent line,box,circle,most full cylinder,straight line,short straight line,dowmward smile,curvy line,almost square,widest rectangle,round,square,triangle,arrow,thick line,straight non arrow line,arrow,square,small square,rectangle,Square,wavy line,large cylinder,arrow,Downward smile,thickest straight line,straight arrow,solid square,cylinder,triangle,square,Sun,1;4;2;1;4;4;4;3;1;1;3;2;1;2;3;3;3;4;2;4;1;1;4;3;3;4;3;3;4;4;1;2;2;1;1;3;4;4;2;4,BDAC;BADC;ADCB;CDAB;CDBA;CBDA;BDCA;DBCA;DCAB;CBDA;DCBA;ACBD;DCAB;ABDC;DBCA;BACD;DCBA;CDBA;DACB;ADCB;BDCA;BDCA;ABDC;BDCA;ACBD;BCDA;DCAB;ADCB;CDBA;DACB;DBAC;CBDA;CABD;DBAC;DABC;BDAC;BCDA;BCDA;ADCB;BADC,20914;10953;7420;18092;6456;17513;10623;9725;7450;8214;13506;12882;16834;13829;18440;9984;7375;8604;11274;6682;9257;8078;9627;6270;7202;7083;8146;4136;16711;5007;6818;6068;6780;15008;9395;7874;5010;5817;14378;6212,sun,4;36;2;13;9;26;24;22;34;3;10;21;40;12;18;29;8;33;20;19;15;38;5;35;6;17;7;32;25;1;28;11;39;23;37;30;27;14;31;16,0,,
3EKZL9T8Y8ZTQOAW4ARG9W678TOHCD,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:55 PST 2017,,,3VP0C6EFSH9TP50ZBIZS4LID5NCM6A,fm4nj9cx2i,Approved,Fri Feb 10 07:47:28 PST 2017,Fri Feb 10 08:48:45 PST 2017,Fri Feb 10 11:48:45 PST 2017,Fri Feb 10 09:51:23 PST 2017,,,3677,100% (3/3),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC2,{},{},triangle with lines inside,triangle with lines inside it,triangle,square,slightly curved line,less full cube,empty cyclinder,sphere,straight line,oval with small circles inside it,cylinder,cloud,lumpy cloud,sun,right facing arrow,wavy line,smaller triangle,solid rectangle,narrower rectangle,cylinder,squatty cyclinder,thick straight line,cloud,thinner line,thin straight line,right pointing arrow,solid square,squiggly line,partial triangle,solid oval,curly cue,small curl,thick straight line,curved arrow,thicker line,triangle with lines inside,star with dots inside,cylinder,bent arrow,triangle with dots inside,sun,4;3;3;2;3;3;4;2;2;1;2;2;1;4;2;3;3;3;1;3;3;2;3;1;2;1;2;2;1;1;1;2;2;3;3;1;2;2;1;4,BADC;ACDB;ACBD;CBAD;ABDC;CBDA;BCAD;ACDB;DBCA;CADB;BDCA;DBCA;DABC;ADCB;CBAD;ADBC;CBDA;DABC;ACDB;DABC;ADBC;BADC;ADCB;BACD;ABDC;BDAC;CBAD;BACD;BCAD;DCBA;DCBA;CDAB;ADCB;DCAB;ACBD;ACDB;DACB;DBAC;DCAB;CDBA,47974;8183;9363;6283;6725;8013;13620;13719;7417;10856;5178;7148;6916;7693;18747;10043;9583;13672;5085;10563;6691;11312;7447;9223;6945;6289;19235;11138;7983;8705;4072;7601;5026;3687;9524;20482;6065;10593;12893;6750,sun,37;24;1;2;12;35;26;14;30;33;40;6;7;19;25;9;23;13;11;5;32;28;17;29;15;36;8;38;39;16;3;34;31;21;10;18;20;4;22;27,0,,
335HHSX8CDI3VGGA46MRT2OPTT0HDD,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:55 PST 2017,,,36WLNQG780N1JTPHQBSH2TZWAMWEBY,mg5aegrivn,Approved,Fri Feb 10 07:47:43 PST 2017,Fri Feb 10 08:24:36 PST 2017,Fri Feb 10 11:24:36 PST 2017,Fri Feb 10 09:51:19 PST 2017,,,2213,100% (4/4),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC2,{},{},flat circle,stripped triangle,triangle,less complete circle,arrow,more full cube,curved line,square,horizontal line,circle,line,semi-circle,less full cylinder,sun,shorter line,triangle,square,rectangle,wider rectangle,log,taller spiral,line,angle without an arrow,thicker line,star,arrow,square,wavy line,half triangle,rectangle,cylinder,spiral,star,straight line,circle,square,stripped square,triangle,flat line,triangle,sun,2;1;1;4;2;1;1;4;2;1;2;4;2;1;3;2;3;3;4;1;3;1;2;2;2;4;2;4;1;4;4;2;2;3;3;2;1;2;3;3,ACDB;ADBC;ABCD;ACBD;ADCB;CADB;DCAB;DBAC;CADB;DCAB;ACBD;CABD;CBAD;ABDC;DBAC;ABDC;DBAC;CBAD;DCAB;CDAB;ABCD;CADB;DCBA;ADBC;BCDA;DCBA;CABD;BCDA;CADB;DACB;BADC;ACBD;BACD;BDCA;ADCB;CABD;DBAC;DCBA;BCDA;DACB,11509;3807;6925;3952;4697;8872;8638;2474;3095;7295;6882;9255;6530;2396;5952;3744;12977;7255;3766;3913;2775;2192;9313;4694;7409;3975;11352;7982;9072;3041;7025;3106;2060;3497;2072;8680;2976;3215;8072;4656,sun,31;13;1;32;34;36;28;21;7;35;14;3;17;23;5;38;26;27;22;15;39;40;10;25;6;8;30;20;12;33;24;11;19;9;18;2;16;37;4;29,0,,
335HHSX8CDI3VGGA46MRT2OPTT0HDD,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:55 PST 2017,,,3N2BF7Y2VR79MUKG71QW1C73E1SMHB,nqi7e563aa,Approved,Fri Feb 10 07:47:50 PST 2017,Fri Feb 10 08:10:30 PST 2017,Fri Feb 10 11:10:30 PST 2017,Fri Feb 10 09:51:20 PST 2017,,,1360,100% (1/1),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC2,{},{},cylinder,triangle,cube,more open circle,circle with dots,third filled cube,empty cylinder,ball,open circle,line going up,long line,circle,cube,sun,long line,triangle,squiggle,open angle,star,oval with open dots,small cylinder,fat line arrow,open box,round 3 dots,arrow right,arrow right,short line,big square,half triangle,skinny oval,cylinder,ribbon,star,star,long line,square cookie,star with dots,6 dot square,skinny long line,dot triangle,sun,3;4;1;3;2;3;2;4;2;4;3;4;3;4;2;3;1;1;4;2;3;4;2;3;4;3;3;2;2;3;2;2;3;4;3;1;1;2;3;1,CADB;DABC;BACD;ADCB;CBDA;ABCD;BDCA;CADB;CABD;ACBD;ACBD;BADC;BCDA;ACDB;DCAB;BCAD;DACB;DBCA;ADCB;DACB;ADBC;ABDC;DCBA;CADB;DACB;BDCA;BACD;DACB;CABD;CBAD;BADC;DCBA;CABD;BCDA;ADCB;CADB;CDAB;CADB;DCAB;ABCD,3533;4655;3136;5992;6342;2866;3239;5672;9553;5843;3557;3289;4510;14596;7216;3896;3008;10122;12488;68283;6731;4681;9358;8635;4048;4519;6454;7531;6321;6727;8992;4297;4120;7193;9323;6573;3972;4677;19152;15748,sun,20;23;39;1;28;26;22;29;36;9;40;33;8;7;34;17;11;18;10;4;15;35;24;37;19;21;5;3;30;31;13;38;32;27;14;6;16;2;12;25,0,,
335HHSX8CDI3VGGA46MRT2OPTT0HDD,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:55 PST 2017,,,3PJ71Z61R5FJBZG8G3J643LCXDP910,4wyw1s0p2d,Approved,Fri Feb 10 07:47:31 PST 2017,Fri Feb 10 07:58:17 PST 2017,Fri Feb 10 10:58:17 PST 2017,Fri Feb 10 08:04:50 PST 2017,,,646,100% (1/1),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC2,{},{},circle dots,solid triangle,circle dot,line plot points,circle,cube almost empty,empty cylinder,triangle one dot,triangle,dot oval,cylinder,triangle,cloud,sun,short line,triangle,fat triangle,line,narrow rectangle,curved line,cube,lego cup,square,narrow line,narrow line,long line,curvy line,small square,line,rectangle,cylinder,big cylinder,fat arrow,straight line,dot circle,dot square,triangle lines,dot triangle,curved line,square dots,sun,2;2;4;4;2;2;1;1;1;4;1;3;3;4;2;1;2;3;1;3;3;1;2;4;4;1;4;3;4;1;1;4;4;1;4;2;1;4;2;3,ADBC;ABDC;DCBA;DCBA;ACDB;BDCA;CDAB;CABD;CDBA;CDBA;ADBC;CABD;ADBC;DBAC;DCAB;ADBC;CBDA;ADBC;DACB;ACDB;ADBC;CDAB;CBAD;DBAC;CABD;DCBA;BDCA;DCAB;ABCD;DBCA;BDCA;ACDB;BCAD;ACBD;BDCA;BDCA;CDAB;DACB;ABDC;BACD,37721;5160;8121;3679;8337;5893;8330;5105;4479;7511;6649;3704;5576;3671;3736;2887;3311;2848;3113;2439;4192;7871;4944;1792;6104;15871;2689;3734;5888;3848;3064;4695;3031;3745;12968;3567;4769;3657;2840;2896,sun,35;17;34;32;16;8;6;13;4;2;26;5;18;28;37;40;22;3;19;20;36;12;7;21;29;38;23;33;30;31;24;10;27;25;14;11;9;15;1;39,0,,
335HHSX8CDI3VGGA46MRT2OPTT0HDD,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:55 PST 2017,,,3XM0HYN6NLC3NNQR9GAIXD4LRQBPEU,vdcwoqzpw3,Approved,Fri Feb 10 07:47:41 PST 2017,Fri Feb 10 08:05:35 PST 2017,Fri Feb 10 11:05:35 PST 2017,Fri Feb 10 09:51:20 PST 2017,,,1074,100% (3/3),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC2,i really enjoyed this.,{},triangle,solid triangle,triangle,diagonal line,circle,emptiest square,diagonal line,one dot triangle,triangle,arrow,ribbon,half triangle,emptiest cylinder,thinest line,longest line,square,little triangle,oval,biggest rectangle,cylinder,hockey puck,arrow,cloud,thickest line,arrow,arrow,squiggly,squiggly,bent line,biggest oval,ribbon swirl,ribbon,arrow,thin bendy,circle,square dots,striped square,cylinder,straight line,round stripe,sun,4;2;3;1;2;1;4;4;4;4;2;3;3;4;4;1;2;2;3;1;1;4;1;1;1;4;2;2;2;4;2;2;4;3;4;4;2;2;2;3,DBAC;DBCA;BADC;DCAB;ADBC;DACB;DACB;ACBD;BCDA;BDAC;DCBA;CDAB;BDCA;ABCD;DCAB;CADB;DBCA;DCAB;ADCB;DACB;ABDC;BACD;BACD;ACBD;DABC;BCDA;ADBC;ABCD;CDAB;BCDA;BACD;DBCA;CADB;ACDB;ABCD;ABCD;CDBA;ACDB;ACDB;ABDC,28924;18655;8765;17318;29373;15955;6884;12168;8898;14787;10770;6072;13556;7684;5825;11173;6830;15388;12195;10447;13612;8478;18545;26274;13999;7016;24715;9108;17247;13984;21357;6833;10820;22534;45425;8051;8133;10825;7066;9779,sun,25;34;38;28;4;37;17;21;39;9;22;32;5;31;3;2;18;27;35;19;15;12;16;24;7;11;14;40;8;6;36;29;33;26;20;13;1;10;23;30,0,,
3ZXNP4Z39RYP03YQ4EY3L270OZ67LH,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:56 PST 2017,,,338JKRMM27C8KTBRAY0RSLC3KK3HAM,jsche3r81e,Approved,Fri Feb 10 07:47:38 PST 2017,Fri Feb 10 07:54:27 PST 2017,Fri Feb 10 10:54:27 PST 2017,Fri Feb 10 08:04:59 PST 2017,,,409,100% (2/2),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC2,{},{},triangle,oval,big coil,diagonal line,circle,cylinder,curved line,one-dot triangle,circle,arrow,small coil,broken circle,full cylinder,line,star,triangle,square,slightly bent line,skinny rectangle,oval,small coil,straight line,cloud,fat line,cloud,arrow,triangle,smaller square,rectangle,narrow rectangle,wavy line,tall cylinder,star,curved line,skinny line,square,striped square,square,curved arrow,square,sun,4;1;3;1;2;1;2;2;1;3;4;3;3;2;3;1;1;2;3;4;1;3;2;2;4;1;3;1;1;4;3;2;1;1;1;2;4;4;3;1,ADCB;DCBA;DCAB;CBDA;BDCA;DBCA;BCDA;BCDA;DACB;BACD;BADC;CABD;BCAD;ACBD;CABD;ADCB;BACD;CDBA;CDAB;ABDC;ACDB;DCAB;ABDC;CDBA;ABDC;BDAC;ADBC;BADC;DCAB;ACBD;BCDA;ACBD;ACBD;BACD;BACD;ADBC;ACBD;BCDA;DCBA;BCDA,20120;6189;4471;6738;4379;3967;4454;13044;6330;6902;4851;4064;4886;4919;7314;8601;5997;6449;5715;19585;4070;4499;2390;3428;6757;2941;2901;4461;5905;3413;3494;4012;2863;3737;9416;2948;2396;3515;3390;2995,sun,28;11;37;29;19;8;34;6;9;27;5;10;35;18;16;36;31;12;20;25;40;38;3;32;30;13;24;4;26;15;7;14;1;17;2;33;21;39;22;23,0,,
3ZXNP4Z39RYP03YQ4EY3L270OZ67LH,309SUPN8PFH0IYRD198RIZQDK442HL,Give brief descriptions of images (about 10 min),In this task you will be asked to give brief descriptions of images. You may take ONLY 1 HIT for this task. Native English speaker required. You need to allow Javascript to work on the HIT.,"image, description, game",$1.50 ,Fri Feb 10 07:45:25 PST 2017,5,BatchId:2682432;OriginalHitTemplateId:920937340;,5400,10800,Fri Feb 10 07:56:56 PST 2017,,,3907X2AHF1IBS7EBGWFHVCVWUNLP2S,tqy9e9a6r5,Approved,Fri Feb 10 07:47:33 PST 2017,Fri Feb 10 09:04:50 PST 2017,Fri Feb 10 12:04:50 PST 2017,Fri Feb 10 09:51:25 PST 2017,,,4637,100% (2/2),100% (1/1),100% (1/1),impreciseAdjInterpretation,TlessC2,fun task,{},circle with dots,striped triangle,round one,ring with a small break,arrow,line with arrowheads,curved line,triangle with one dot,traingle,cookie,straight narrow line,complete circle,cloud,complete circle,shortest line with no arrowhead,square,square,bent line,narrow rectangle,helix,cube,polygon with raised circles,cloud,heaviest line with no arrow,arrow,long line,square,big square,rectangle,narrow rectangle,cylinder,cloud,arrow,straight line,cookie,chocolate chip cookie,triangle,square,straight line,dotted square,thing that's in the sky during the day,2;4;3;4;1;2;2;4;1;1;1;1;2;3;3;1;2;3;4;3;4;1;1;2;4;1;1;3;4;4;2;4;2;4;1;2;1;3;2;3,BDAC;BCDA;DCAB;DABC;CDAB;CDAB;CABD;DABC;DACB;ACBD;BCAD;ADCB;DCBA;CDBA;ACDB;CABD;ACDB;ABCD;ACBD;DACB;DABC;BACD;BADC;CDBA;ACBD;BADC;BDCA;CDAB;BCAD;CABD;BCDA;DACB;ADBC;ABDC;BDCA;ADBC;CABD;DCBA;ABCD;ADBC,32584;10641;21200;7678;3120;14722;3565;2751;11360;35393;5823;5168;3952;2673;4991;6160;4000;4080;9421;2803;10208;2686;5279;4080;5856;7103;4080;2592;4787;15741;4015;6592;6609;8111;6112;4848;3488;25168;4241;8623,sun,12;5;19;11;38;17;18;39;14;37;31;35;25;13;15;34;3;24;6;33;36;40;10;32;7;9;8;20;2;30;28;26;1;16;27;23;4;29;21;22,0,,
