,workerid,proliferate.condition,ExpFiller,Intro_object,Prime,Res_object,competitor1,competitor2,condition,condition1,correctAns1,correctAns2,determiner,determiner1,displayID,display_type,figure,instruction1,instruction3,list,location1,location10,location2,location3,location4,location5,location6,location7,location8,location9,object1,object2,object3,object4,practiceTrialType,practice_trial_number,prime,response,response_times,setting,size,size1,target1,target2,target_figure1,target_figure3,target_object1,target_object3,trial_number,error,genderUsed,correctGender,correctNoun,detUsed,correctDet
17,54,List1,Exp,,GirlTwoSusanBananas,,3,9.0,num,,AOI4,AOI10,two,,5,33-33,Susan's,,Click on the girl that has two of Susan's bananas,1.0,2_pears,girl,3_apples,3_oranges,2_bananas,1_banana,1_pear,boy,boy,girl,,,,,,,,child with two bananas,4376.0,fruit,small,,4,10.0,,girl,,2_bananas,16.0,,noGender,1,1,two,1
18,54,List1,Filler,,GirlFourAmyKnives,,4,10.0,four,,AOI3,AOI9,four,,46,44-22,Amy's,,Click on the girl that has four of Amy's knives,1.0,1_spoon,girl,3_plates,4_knives,2_forks,1_spoon,1_plate,boy,boy,girl,,,,,,,,child with four knives,4361.0,kitchenwares,big,,3,9.0,,girl,,4_knives,17.0,,noGender,1,1,four,1
19,54,List1,Filler,,GirlOneMichaelErasers,,4,10.0,one,,AOI3,AOI9,one,,41,33-33,Michael's,,Click on the girl that has one of Michael's erasers,1.0,3_pencils,girl,3_scissors,1_eraser,3_rulers,2_erasers,0,boy,boy,girl,,,,,,,,child with one eraser,4615.0,stationeries,small,,3,9.0,,girl,,1_eraser,18.0,,noGender,1,1,one,1
20,54,List1,Exp,,BoyTwoMichaelPencils,,1,7.0,num,,AOI2,AOI8,two,,28,44-22,Michael's,,Click on the boy that has two of Michael's pencils,1.0,3_scissors,girl,2_pencils,2_erasers,3_rulers,1_ruler,1_scissor,boy,boy,girl,,,,,,,,child with two pens,2599.0,stationeries,small,,2,8.0,,boy,,2_pencils,19.0,,noGender,1,0,two,1
21,54,List1,Exp,,BoyAllAmyKnives,,2,8.0,all,,AOI1,AOI7,all,,18,33-33,Amy's,,Click on the boy that has all of Amy's knives,1.0,3_knives,girl,2_plates,3_spoons,2_forks,1_plate,1_fork,boy,boy,girl,,,,,,,,child with three knives,5713.0,kitchenwares,big,,1,7.0,,boy,,3_knives,20.0,,noGender,1,1,three,1
22,54,List1,Exp,,GirlAllSusanBananas,,4,10.0,all,,AOI3,AOI9,all,,4,33-33,Susan's,,Click on the girl that has all of Susan's bananas,1.0,2_pears,girl,3_apples,3_bananas,2_oranges,1_orange,1_pear,boy,boy,girl,,,,,,,,child with three bananas,6903.0,fruit,big,,3,9.0,,girl,,3_bananas,21.0,,noGender,1,1,three,1
23,54,List1,Filler,,BoyOneAmyPlates,,2,8.0,one,,AOI1,AOI7,one,,38,33-33,Amy's,,Click on the boy that has one of Amy's plates,1.0,1_plate,girl,3_knives,3_forks,3_spoons,2_plates,0,boy,boy,girl,,,,,,,,child with one plate,3240.0,kitchenwares,small,,1,7.0,,boy,,1_plate,22.0,,noGender,1,1,one,1
24,54,List1,Filler,,GirlFourAmyPlates,,3,9.0,four,,AOI4,AOI10,four,,47,44-22,Amy's,,Click on the girl that has four of Amy's plates,1.0,1_knife,girl,3_forks,2_spoons,4_plates,1_knife,1_fork,boy,boy,girl,,,,,,,,child with four plates,3784.0,kitchenwares,big,,4,10.0,,girl,,4_plates,23.0,,noGender,1,1,four,1
25,54,List1,Exp,,BoySomeMichaelErasers,,2,8.0,some,,AOI1,AOI7,some,,11,33-33,Michael's,,Click on the boy that has some of Michael's erasers,1.0,2_erasers,girl,3_pencils,2_rulers,3_scissors,1_ruler,1_eraser,boy,boy,girl,,,,,,,,child with two erasers,6418.0,stationeries,small,,1,7.0,,boy,,2_erasers,24.0,,noGender,1,1,two,1
26,54,List1,Exp,,BoySomeMichaelPencils,,2,8.0,some,,AOI1,AOI7,some,,29,44-22,Michael's,,Click on the boy that has some of Michael's pencils,1.0,3_pencils,girl,2_erasers,3_scissors,2_rulers,1_pencil,1_scissor,boy,boy,girl,,,,,,,,child with three pens,3414.0,stationeries,big,,1,7.0,,boy,,3_pencils,25.0,,noGender,1,0,three,1
27,54,List1,Exp,,GirlAllMichaelErasers,,4,10.0,all,,AOI3,AOI9,all,,26,44-22,Michael's,,Click on the girl that has all of Michael's erasers,1.0,3_pencils,girl,2_scissors,2_erasers,3_rulers,1_pencil,1_ruler,boy,boy,girl,,,,,,,,child with two erasers,5633.0,stationeries,small,,3,9.0,,girl,,2_erasers,26.0,,noGender,1,1,two,1
28,54,List1,Exp,,BoyThreeAmyPlates,,2,8.0,num,,AOI1,AOI7,three,,31,44-22,Amy's,,Click on the boy that has three of Amy's plates,1.0,3_plates,girl,2_forks,3_spoons,2_knives,1_spoon,1_plate,boy,boy,girl,,,,,,,,child with three plates,3815.0,kitchenwares,big,,1,7.0,,boy,,3_plates,27.0,,noGender,1,1,three,1
29,54,List1,Exp,,BoyAllSusanApples,,2,8.0,all,,AOI1,AOI7,all,,22,44-22,Susan's,,Click on the boy that has all of Susan's apples,1.0,2_apples,girl,3_pears,3_oranges,2_bananas,1_orange,1_pear,boy,boy,girl,,,,,,,,child with two apples,5784.0,fruit,small,,1,7.0,,boy,,2_apples,28.0,,noGender,1,1,two,1
30,54,List1,Exp,,GirlSomeAmyKnives,,4,10.0,some,,AOI3,AOI9,some,,15,33-33,Amy's,,Click on the girl that has some of Amy's knives,1.0,2_spoons,girl,3_plates,2_knives,3_forks,1_spoon,1_knife,boy,boy,girl,,,,,,,,child with two nives,3240.0,kitchenwares,small,,3,9.0,,girl,,2_knives,29.0,,noGender,1,0,two,1
31,54,List1,Exp,,BoyTwoAmySpoons,,2,8.0,num,,AOI1,AOI7,two,,32,44-22,Amy's,,Click on the boy that has two of Amy's spoons,1.0,2_spoons,girl,3_knives,3_forks,2_plates,1_fork,1_knife,boy,boy,girl,,,,,,,,child with two spoons,5033.0,kitchenwares,small,,1,7.0,,boy,,2_spoons,30.0,,noGender,1,1,two,1
32,54,List1,Filler,,BoyOneSusanApples,,2,8.0,one,,AOI1,AOI7,one,,37,33-33,Susan's,,Click on the boy that has one of Susan's apples,1.0,1_apple,girl,3_pears,3_bananas,3_oranges,2_apples,0,boy,boy,girl,,,,,,,,child with one apple,5207.0,fruit,small,,1,7.0,,boy,,1_apple,31.0,,noGender,1,1,one,1
33,54,List1,Exp,,BoySomeAmySpoons,,1,7.0,some,,AOI2,AOI8,some,,33,44-22,Amy's,,Click on the boy that has some of Amy's spoons,1.0,2_plates,girl,3_spoons,2_forks,3_knives,1_spoon,1_knife,boy,boy,girl,,,,,,,,child with three spoons,3553.0,kitchenwares,big,,2,8.0,,boy,,3_spoons,32.0,,noGender,1,1,three,1
34,54,List1,Exp,,BoySomeSusanOranges,,1,7.0,some,,AOI2,AOI8,some,,2,33-33,Susan's,,Click on the boy that has some of Susan's oranges,1.0,3_apples,girl,2_oranges,2_bananas,3_pears,1_banana,1_orange,boy,boy,girl,,,,,,,,child with two oranges,3632.0,fruit,small,,2,8.0,,boy,,2_oranges,33.0,,noGender,1,1,two,1
35,54,List1,Exp,,BoySomeMichaelScissors,,1,7.0,some,,AOI2,AOI8,some,,12,33-33,Michael's,,Click on the boy that has some of Michael's scissors,1.0,3_rulers,girl,2_scissors,2_pencils,3_erasers,1_pencil,1_scissor,boy,boy,girl,,,,,,,,child with two scissors,4719.0,stationeries,small,,2,8.0,,boy,,2_scissors,34.0,,noGender,1,1,two,1
36,54,List1,Exp,,GirlAllMichaelRulers,,3,9.0,all,,AOI4,AOI10,all,,8,33-33,Michael's,,Click on the girl that has all of Michael's rulers,1.0,2_scissors,girl,3_pencils,2_erasers,3_rulers,1_eraser,1_scissor,boy,boy,girl,,,,,,,,three rulers,3536.0,stationeries,big,,4,10.0,,girl,,3_rulers,35.0,,noGender,1,1,three,1
37,54,List1,Exp,,GirlAllMichaelPencils,,3,9.0,all,,AOI4,AOI10,all,,25,44-22,Michael's,,Click on the girl that has all of Michael's pencils,1.0,3_erasers,girl,2_rulers,3_scissors,2_pencils,1_eraser,1_scissor,boy,boy,girl,,,,,,,,child with two pens,4632.0,stationeries,small,,4,10.0,,girl,,2_pencils,36.0,,noGender,1,0,two,1
38,54,List1,Exp,,GirlThreeMichaelScissors,,4,10.0,num,,AOI3,AOI9,three,,10,33-33,Michael's,,Click on the girl that has three of Michael's scissors,1.0,3_rulers,girl,2_erasers,3_scissors,2_pencils,1_pencil,1_eraser,boy,boy,girl,,,,,,,,child with three scissors,6961.0,stationeries,big,,3,9.0,,girl,,3_scissors,37.0,,noGender,1,1,three,1
39,54,List1,Exp,,BoyAllSusanOranges,,1,7.0,all,,AOI2,AOI8,all,,21,44-22,Susan's,,Click on the boy that has all of Susan's oranges,1.0,3_bananas,girl,2_oranges,3_apples,2_pears,1_apple,1_banana,boy,boy,girl,,,,,,,,child with two oranges,3639.0,fruit,small,,2,8.0,,boy,,2_oranges,38.0,,noGender,1,1,two,1
40,54,List1,Filler,,BoyFourSusanBananas,,1,7.0,four,,AOI2,AOI8,four,,44,44-22,Susan's,,Click on the boy that has four of Susan's bananas,1.0,1_orange,girl,4_bananas,3_pears,2_apples,1_orange,1_pear,boy,boy,girl,,,,,,,,child with four bananas,4441.0,fruit,big,,2,8.0,,boy,,4_bananas,39.0,,noGender,1,1,four,1
41,54,List1,Exp,,GirlSomeSusanBananas,,3,9.0,some,,AOI4,AOI10,some,,19,44-22,Susan's,,Click on the girl that has some of Susan's bananas,1.0,3_oranges,girl,2_apples,2_pears,3_bananas,1_banana,1_orange,boy,boy,girl,,,,,,,,child with three bananas,5793.0,fruit,big,,4,10.0,,girl,,3_bananas,40.0,,noGender,1,1,three,1
42,54,List1,Exp,,BoyAllSusanPears,,1,7.0,all,,AOI2,AOI8,all,,3,33-33,Susan's,,Click on the boy that has all of Susan's pears,1.0,2_apples,girl,3_pears,2_bananas,3_oranges,1_apple,1_banana,boy,boy,girl,,,,,,,,child with 3 pears,5327.0,fruit,big,,2,8.0,,boy,,3_pears,41.0,,noGender,1,1,three,1
43,54,List1,Exp,,GirlSomeAmyPlates,,3,9.0,some,,AOI4,AOI10,some,,16,33-33,Amy's,,Click on the girl that has some of Amy's plates,1.0,2_forks,girl,3_knives,3_spoons,2_plates,1_fork,1_plate,boy,boy,girl,,,,,,,,child with 2 plates,8336.0,kitchenwares,small,,4,10.0,,girl,,2_plates,42.0,,noGender,1,1,two,1
44,54,List1,Exp,,GirlTwoMichaelRulers,,4,10.0,num,,AOI3,AOI9,two,,9,33-33,Michael's,,Click on the girl that has two of Michael's rulers,1.0,3_pencils,girl,2_scissors,2_rulers,3_erasers,1_ruler,1_scissor,boy,boy,girl,,,,,,,,child with two rulers,6064.0,stationeries,small,,3,9.0,,girl,,2_rulers,43.0,,noGender,1,1,two,1
45,54,List1,Exp,,BoyAllAmyForks,,1,7.0,all,,AOI2,AOI8,all,,17,33-33,Amy's,,Click on the boy that has all of Amy's forks,1.0,2_spoons,girl,3_forks,2_knives,3_plates,1_spoon,1_knife,boy,boy,girl,,,,,,,,child with 3 forks,3384.0,kitchenwares,big,,2,8.0,,boy,,3_forks,44.0,,noGender,1,1,three,1
46,54,List1,Filler,,BoyFourMichaelScissors,,2,8.0,four,,AOI1,AOI7,four,,43,44-22,Michael's,,Click on the boy that has four of Michael's scissors,1.0,4_scissors,girl,1_pencil,2_rulers,3_erasers,1_pencil,1_eraser,boy,boy,girl,,,,,,,,child with 4 scissors,4815.0,stationeries,big,,1,7.0,,boy,,4_scissors,45.0,,noGender,1,1,four,1
47,54,List1,Filler,,BoyOneAmySpoons,,1,7.0,one,,AOI2,AOI8,one,,39,33-33,Amy's,,Click on the boy that has one of Amy's spoons,1.0,3_forks,girl,1_spoon,3_plates,3_knives,2_spoons,0,boy,boy,girl,,,,,,,,child with the spoon,4968.0,kitchenwares,small,,2,8.0,,boy,,1_spoon,46.0,,noGender,1,1,noDet,1
48,54,List1,Filler,,BoyOneMichaelRulers,,1,7.0,one,,AOI2,AOI8,one,,40,33-33,Michael's,,Click on the boy that has one of Michael's rulers,1.0,3_erasers,girl,1_ruler,3_pencils,3_scissors,2_scissors,0,boy,boy,girl,,,,,,,,child with the ruler,5520.0,stationeries,small,,2,8.0,,boy,,1_ruler,47.0,,noGender,1,1,noDet,1
49,54,List1,Exp,,GirlTwoAmyForks,,3,9.0,num,,AOI4,AOI10,two,,13,33-33,Amy's,,Click on the girl that has two of Amy's forks,1.0,2_knives,girl,3_spoons,3_plates,2_forks,1_fork,1_knife,boy,boy,girl,,,,,,,,child with two forks,6576.0,kitchenwares,small,,4,10.0,,girl,,2_forks,48.0,,noGender,1,1,two,1
50,63,List1,Prac,kitchware_Amy_Monday,,Residue_kitchen,4,,,num,AOI3,AOI9,,three,5,44-22,Amy,Click on the girl that has three of Amy's knives,,,2_spoons,girl,3_forks,3_knives,2_plates,1_fork,1_knife,boy,boy,girl,knives,D4_forks,D2_spoons,D4_knives,production practice,1.0,GirlThreeAmyknives,girl with the knives,,kitchenwares,,big,3,,girl,,3_knives,,,,girl,0,0,noDet,1
51,63,List1,Prac,kitchware_Amy_Tuesday,,Slience,2,,,some,AOI4,AOI10,,some,6,33-33,Amy,Click on the girl that has some of Amy's forks,,,3_spoons,girl,2_knives,3_plates,2_forks,1_fork,1_knife,boy,boy,girl,forks,D3_forks,D3_spoons,D3_knives,production practice,2.0,GirlSomeAmyforks,girl with the forks,,kitchenwares,,big,4,,girl,,2_forks,,,,girl,0,0,noDet,1
52,63,List1,Filler,,BoyOneAmySpoons,,1,7.0,one,,AOI2,AOI8,one,,39,33-33,Amy's,,Click on the boy that has one of Amy's spoons,1.0,3_forks,girl,1_spoon,3_plates,3_knives,2_spoons,0,boy,boy,girl,,,,,,,,boy with spoon,4878.0,kitchenwares,small,,2,8.0,,boy,,1_spoon,1.0,,boy,1,1,noDet,1
53,63,List1,Exp,,GirlAllAmyPlates,,3,9.0,all,,AOI4,AOI10,all,,35,44-22,Amy's,,Click on the girl that has all of Amy's plates,1.0,3_spoons,girl,2_forks,3_knives,2_plates,1_spoon,1_knife,boy,boy,girl,,,,,,,,girl with plates,3723.0,kitchenwares,small,,4,10.0,,girl,,2_plates,2.0,,girl,1,1,noDet,1
54,63,List1,Exp,,BoyThreeAmyKnives,,1,7.0,num,,AOI2,AOI8,three,,14,33-33,Amy's,,Click on the boy that has three of Amy's knives,1.0,2_spoons,girl,3_knives,2_plates,3_forks,1_spoon,1_plate,boy,boy,girl,,,,,,,,boy with knives,2764.0,kitchenwares,big,,2,8.0,,boy,,3_knives,3.0,,boy,1,1,noDet,1
55,63,List1,Exp,,BoyAllAmyForks,,1,7.0,all,,AOI2,AOI8,all,,17,33-33,Amy's,,Click on the boy that has all of Amy's forks,1.0,2_spoons,girl,3_forks,2_knives,3_plates,1_spoon,1_knife,boy,boy,girl,,,,,,,,boy with forks,2143.0,kitchenwares,big,,2,8.0,,boy,,3_forks,4.0,,boy,1,1,noDet,1
56,63,List1,Exp,,GirlSomeAmyKnives,,4,10.0,some,,AOI3,AOI9,some,,15,33-33,Amy's,,Click on the girl that has some of Amy's knives,1.0,2_spoons,girl,3_plates,2_knives,3_forks,1_spoon,1_knife,boy,boy,girl,,,,,,,,girl with knives,2409.0,kitchenwares,small,,3,9.0,,girl,,2_knives,5.0,,girl,1,1,noDet,1
57,63,List1,Exp,,BoySomeMichaelScissors,,1,7.0,some,,AOI2,AOI8,some,,12,33-33,Michael's,,Click on the boy that has some of Michael's scissors,1.0,3_rulers,girl,2_scissors,2_pencils,3_erasers,1_pencil,1_scissor,boy,boy,girl,,,,,,,,boy with scissors,3433.0,stationeries,small,,2,8.0,,boy,,2_scissors,6.0,,boy,1,1,noDet,1
58,63,List1,Filler,,BoyOneMichaelRulers,,1,7.0,one,,AOI2,AOI8,one,,40,33-33,Michael's,,Click on the boy that has one of Michael's rulers,1.0,3_erasers,girl,1_ruler,3_pencils,3_scissors,2_scissors,0,boy,boy,girl,,,,,,,,boy with ruler,2345.0,stationeries,small,,2,8.0,,boy,,1_ruler,7.0,,boy,1,1,noDet,1
59,63,List1,Exp,,GirlAllMichaelRulers,,3,9.0,all,,AOI4,AOI10,all,,8,33-33,Michael's,,Click on the girl that has all of Michael's rulers,1.0,2_scissors,girl,3_pencils,2_erasers,3_rulers,1_eraser,1_scissor,boy,boy,girl,,,,,,,,girl with rulers,2598.0,stationeries,big,,4,10.0,,girl,,3_rulers,8.0,,girl,1,1,noDet,1
60,63,List1,Filler,,GirlOneMichaelErasers,,4,10.0,one,,AOI3,AOI9,one,,41,33-33,Michael's,,Click on the girl that has one of Michael's erasers,1.0,3_pencils,girl,3_scissors,1_eraser,3_rulers,2_erasers,0,boy,boy,girl,,,,,,,,girl with erasers,3287.0,stationeries,small,,3,9.0,,girl,,1_eraser,9.0,,girl,1,1,noDet,1
61,63,List1,Exp,,GirlSomeAmyPlates,,3,9.0,some,,AOI4,AOI10,some,,16,33-33,Amy's,,Click on the girl that has some of Amy's plates,1.0,2_forks,girl,3_knives,3_spoons,2_plates,1_fork,1_plate,boy,boy,girl,,,,,,,,girl with plates,2721.0,kitchenwares,small,,4,10.0,,girl,,2_plates,10.0,,girl,1,1,noDet,1
62,63,List1,Exp,,BoyThreeAmyPlates,,2,8.0,num,,AOI1,AOI7,three,,31,44-22,Amy's,,Click on the boy that has three of Amy's plates,1.0,3_plates,girl,2_forks,3_spoons,2_knives,1_spoon,1_plate,boy,boy,girl,,,,,,,,boy with plates,2511.0,kitchenwares,big,,1,7.0,,boy,,3_plates,11.0,,boy,1,1,noDet,1
63,63,List1,Exp,,BoyAllAmyKnives,,2,8.0,all,,AOI1,AOI7,all,,18,33-33,Amy's,,Click on the boy that has all of Amy's knives,1.0,3_knives,girl,2_plates,3_spoons,2_forks,1_plate,1_fork,boy,boy,girl,,,,,,,,boy with knives,2586.0,kitchenwares,big,,1,7.0,,boy,,3_knives,12.0,,boy,1,1,noDet,1
64,63,List1,Filler,,GirlFourMichaelPencils,,3,9.0,four,,AOI4,AOI10,four,,48,44-22,Michael's,,Click on the girl that has four of Michael's pencils,1.0,1_ruler,girl,2_erasers,3_scissors,4_pencils,1_ruler,1_scissor,boy,boy,girl,,,,,,,,girl with pencils,2487.0,stationeries,big,,4,10.0,,girl,,4_pencils,13.0,,girl,1,1,noDet,1
65,63,List1,Filler,,BoyOneAmyPlates,,2,8.0,one,,AOI1,AOI7,one,,38,33-33,Amy's,,Click on the boy that has one of Amy's plates,1.0,1_plate,girl,3_knives,3_forks,3_spoons,2_plates,0,boy,boy,girl,,,,,,,,boy with plate,2963.0,kitchenwares,small,,1,7.0,,boy,,1_plate,14.0,,boy,1,1,noDet,1
66,63,List1,Exp,,BoyAllSusanApples,,2,8.0,all,,AOI1,AOI7,all,,22,44-22,Susan's,,Click on the boy that has all of Susan's apples,1.0,2_apples,girl,3_pears,3_oranges,2_bananas,1_orange,1_pear,boy,boy,girl,,,,,,,,boy with apples,2338.0,fruit,small,,1,7.0,,boy,,2_apples,15.0,,boy,1,1,noDet,1
67,63,List1,Filler,,BoyFourSusanBananas,,1,7.0,four,,AOI2,AOI8,four,,44,44-22,Susan's,,Click on the boy that has four of Susan's bananas,1.0,1_orange,girl,4_bananas,3_pears,2_apples,1_orange,1_pear,boy,boy,girl,,,,,,,,boy with bananas,3642.0,fruit,big,,2,8.0,,boy,,4_bananas,16.0,,boy,1,1,noDet,1
68,63,List1,Exp,,GirlThreeMichaelScissors,,4,10.0,num,,AOI3,AOI9,three,,10,33-33,Michael's,,Click on the girl that has three of Michael's scissors,1.0,3_rulers,girl,2_erasers,3_scissors,2_pencils,1_pencil,1_eraser,boy,boy,girl,,,,,,,,girl with scissors,2731.0,stationeries,big,,3,9.0,,girl,,3_scissors,17.0,,girl,1,1,noDet,1
69,63,List1,Exp,,GirlSomeMichaelRulers,,3,9.0,some,,AOI4,AOI10,some,,30,44-22,Michael's,,Click on the girl that has some of Michael's rulers,1.0,3_erasers,girl,2_pencils,2_scissors,3_rulers,1_ruler,1_eraser,boy,boy,girl,,,,,,,,girl with rulers,2430.0,stationeries,big,,4,10.0,,girl,,3_rulers,18.0,,girl,1,1,noDet,1
70,63,List1,Exp,,BoyTwoSusanApples,,2,8.0,num,,AOI1,AOI7,two,,24,44-22,Susan's,,Click on the boy that has two of Susan's apples,1.0,2_apples,girl,3_pears,3_bananas,2_oranges,1_banana,1_pear,boy,boy,girl,,,,,,,,boy with apples,2108.0,fruit,small,,1,7.0,,boy,,2_apples,19.0,,boy,1,1,noDet,1
